year,month,sub_status,previous_month_revenue,previous_month_orders,cumulative_revenue_until_last_month,end_of_month_subscriber_count,total_spend,avg_spend
2020,10,Subscriber,105734.701666579,2401,756243.346666105,4814,97744.84,279.270971429
2020,11,Non-Subscriber,45467.316666703,1126,446889.49666736,5009,51851.7,51.035137795
2020,11,Subscriber,120848.384999926,2676,877091.731666031,5009,152862.62,286.259588015
2020,12,Non-Subscriber,66556.050000084,1745,513445.546667444,5183,43861.2,47.779084967
2020,12,Subscriber,122829.26833327,2701,999920.999999301,5183,153552.84,319.90175
2021,1,Non-Subscriber,67328.066666761,1747,0,5359,62855.93,47.945026697
2021,1,Subscriber,126729.459999927,2799,0,5359,161211.42,294.719232176
2021,2,Non-Subscriber,78878.243333472,2194,78878.243333472,5409,56700.15,58.034953941
2021,2,Subscriber,138040.031666606,3098,138040.031666606,5409,138233.29,304.478612335
2021,3,Non-Subscriber,67473.075000127,1769,146351.318333599,5563,50981.38,54.642422294
2021,3,Subscriber,127982.074999934,2776,266022.10666654,5563,152712.87,332.707777778
2021,4,Non-Subscriber,74432.30500012,1802,220783.623333719,5686,51332.84,58.733226545
2021,4,Subscriber,146235.761666599,3165,412257.868333139,5686,148952.42,365.079460784
2021,5,Non-Subscriber,73613.501666718,1716,294397.125000437,5826,48510.18,67.468956885
2021,5,Subscriber,144049.796666623,3100,556307.664999762,5826,114988.82,333.300927536
2021,6,Non-Subscriber,65635.863333331,1462,360032.988333768,5915,108079.27,158.474002933
2021,6,Subscriber,151044.403333304,3230,707352.068333066,5915,99719.85,315.56914557
2021,7,Non-Subscriber,77578.833333308,1385,437611.821667076,5982,57356.29,77.403900135
2021,7,Subscriber,148131.613333361,3155,855483.681666427,5982,111255.64,339.19402439
2021,8,Non-Subscriber,86227.388333316,1525,523839.210000392,6037,41138.56,63.38761171
2021,8,Subscriber,163266.385000011,3387,1018750.066666438,6037,121119.23,341.180929577
2021,9,Non-Subscriber,67467.219999979,1396,591306.430000371,6150,53428.54,69.477945384
2021,9,Subscriber,151623.943333372,3183,1170374.00999981,6150,161511.49,348.836911447
2021,10,Non-Subscriber,80101.664999999,1587,671408.09500037,6360,55313.42,71.005673941
2021,10,Subscriber,159221.086666713,3292,1329595.096666523,6360,135526.03,291.453827957
2021,11,Non-Subscriber,80790.753333334,1667,752198.848333704,6520,45744.14,68.376890882
2021,11,Subscriber,174045.593333397,3655,1503640.68999992,6520,125881.75,322.773717949
2021,12,Non-Subscriber,72394.691666647,1488,824593.540000351,6634,41118.64,66.001027287
2021,12,Subscriber,179628.795000044,3736,1683269.484999964,6634,124409.06,335.334393531
2022,1,Non-Subscriber,80366.584999969,1474,0,6770,53956.59,75.463762238
2022,1,Subscriber,187200.35000009,3839,0,6770,166566.35,359.754535637
2022,2,Non-Subscriber,102764.846666673,1554,102764.846666673,6881,47458.25,70.622395833
2022,2,Subscriber,200421.575000048,4089,200421.575000048,6881,123089.81,318.061524548
2022,3,Non-Subscriber,83806.766666659,1444,186571.613333332,6952,42836.26,65.299176829
2022,3,Subscriber,182252.865000006,3686,382674.440000054,6952,123822.19,346.840868347
2022,4,Non-Subscriber,71556.961666627,1468,258128.574999959,6963,36411.32,73.707125506
2022,4,Subscriber,205758.523333344,4113,588432.963333398,6963,111409.96,326.71542522
2022,5,Non-Subscriber,60721.784999976,1288,318850.359999935,6998,26013.53,76.510382353
2022,5,Subscriber,208514.581666688,4173,796947.545000086,6998,102419.2,308.491566265
2022,6,Non-Subscriber,56608.556666662,1140,375458.916666597,7032,26024.29,68.847328042
2022,6,Subscriber,214913.611666906,4184,1011861.156666992,7032,83325,280.555555556
2022,7,Non-Subscriber,48853.019999997,1057,424311.936666594,6983,25997.39,59.627041284
2022,7,Subscriber,214804.290000231,4098,1226665.446667223,6983,88075.51,267.706717325
2022,8,Non-Subscriber,47698.739999989,1092,472010.676666583,7021,35453.2,67.401520913
2022,8,Subscriber,212993.835000292,4193,1439659.281667515,7021,120610.87,322.488957219
2022,9,Non-Subscriber,58215.239999993,1233,530225.916666576,7065,29631.17,63.860280172
2022,9,Subscriber,204348.536666951,4079,1644007.818334466,7065,124507.49,334.697553763
2022,10,Non-Subscriber,53801.439999977,1230,584027.356666553,7060,28922.61,73.036893939
2022,10,Subscriber,213115.733333536,4222,1857123.551668002,7060,91041.22,304.485685619
2022,11,Non-Subscriber,51323.538333312,1158,635350.894999865,7096,27444.7,75.814088398
2022,11,Subscriber,204066.595000193,4076,2061190.146668195,7096,101799.1,338.202990033
2022,12,Non-Subscriber,42021.398333304,998,677372.293333169,7100,25088.76,68.175978261
2022,12,Subscriber,206304.763333543,4231,2267494.910001738,7100,98643.62,336.667645051
2023,1,Non-Subscriber,48811.788333314,1017,0,7060,31665.61,69.748039648
2023,1,Subscriber,217296.723333506,4323,0,7060,105602.53,306.094289855
2023,2,Non-Subscriber,54120.448333336,1155,54120.448333336,6585,35608.24,80.198738739
2023,2,Subscriber,219905.525000236,4105,219905.525000236,6585,117250.26,345.870973451
2023,3,Non-Subscriber,51677.741666668,1139,105798.190000004,6590,42236.88,83.143464567
2023,3,Subscriber,204731.616666891,3777,424637.141667127,6590,126841.81,351.362354571
2023,4,Non-Subscriber,53332.590000007,1190,159130.780000011,6492,14290.64,71.4532
2023,4,Subscriber,218720.520000264,4044,643357.661667391,6492,48303.22,337.784755245
